pmcid_orig,version_orig,flesch_kincaid_orig,reading_ease_orig,word_count_orig,pmcid_300,version_300,flesch_kincaid_300,reading_ease_300,word_count_300,pmcid,delta_flesch_kincaid,delta_reading_ease,delta_word_count
10019155,original,16.57683667621777,17.655436485195793,349,10019155,300,14.163727034120736,18.649230096238,254,10019155,-2.4131096420970337,0.9937936110422072,-95
10024931,original,13.029528089887641,33.351146067415755,178,10024931,300,17.128724082934607,9.175765550239277,228,10024931,4.0991959930469655,-24.175380517176478,50
10027760,original,13.65089285714286,26.803482142857177,266,10027760,300,14.049464285714286,19.270535714285728,224,10027760,0.3985714285714259,-7.532946428571449,-42
10043991,original,0.0,0.0,0,10043991,300,14.689918478260875,17.90705163043478,253,10043991,14.689918478260875,17.90705163043478,253
10077024,original,14.743731035774491,15.699129050383988,281,10077024,300,12.863882783882786,25.989450549450567,273,10077024,-1.8798482518917048,10.290321499066579,-8
10080471,original,13.460641711229947,27.368609625668483,275,10080471,300,13.109602713178298,29.793706395348863,258,10080471,-0.3510389980516493,2.42509676968038,-17
10085918,original,15.204848484848487,15.439772727272754,264,10085918,300,15.717419562419568,8.004795152295173,259,10085918,0.5125710775710814,-7.43497757497758,-5
10106358,original,11.799225806451613,32.55383870967745,248,10106358,300,13.47854471544716,20.335865853658532,246,10106358,1.6793189089955476,-12.217972856018918,-2
10125029,original,15.185497835497838,19.776818181818214,132,10125029,300,3.653333333333336,84.90000000000003,9,10125029,-11.532164502164502,65.12318181818182,-123
10125117,original,5.493669467787118,72.97794117647062,204,10125117,300,10.342550387596905,43.88801162790699,258,10125117,4.848880919809787,-29.08992954856363,54
10165060,original,14.683823529411764,18.284705882352966,272,10165060,300,13.486561723280865,28.125712510356266,284,10165060,-1.1972618061309,9.8410066280033,12
10179281,original,10.844685770750988,39.84268083003954,253,10179281,300,11.962085496183207,27.966502290076363,262,10179281,1.117399725432218,-11.876178539963178,9
10182227,original,15.233616071428575,18.41406250000003,256,10182227,300,12.409914028098136,29.61914447473268,251,10182227,-2.8237020433304387,11.20508197473265,-5
10193861,original,19.484564121709912,7.9376961607865155,974,10193861,300,14.55177099236641,21.843737913486024,262,10193861,-4.9327931293435014,13.906041752699508,-712
10228712,original,13.68985738255034,30.0863296979866,298,10228712,300,12.954666666666668,26.921777777777805,250,10228712,-0.7351907158836717,-3.164551920208794,-48
10245396,original,15.504999999999999,16.781538461538503,240,10245396,300,14.744945652173914,14.952201086956563,230,10245396,-0.7600543478260846,-1.8293373745819395,-10
10247904,original,8.361734693877551,51.89669937205653,245,10247904,300,9.527079875518677,44.64353820885202,241,10247904,1.1653451816411255,-7.25316116320451,-4
10252409,original,19.5367,10.653850000000034,125,10252409,300,14.402203765227021,13.688255813953532,258,10252409,-5.134496234772978,3.034405813953498,133
10263017,original,12.223566176470587,34.247169117647076,256,10263017,300,14.674530141843974,21.245625000000018,282,10263017,2.4509639653733863,-13.001544117647057,26
10263203,original,11.372616041791371,44.46371483375961,799,10263203,300,10.37246031746032,39.3989285714286,252,10263203,-1.0001557243310515,-5.064786262331012,-547
10266282,original,15.337307692307693,15.974358974359006,208,10266282,300,16.00202067669173,9.947091165413582,266,10266282,0.6647129843840354,-6.027267808945425,58
10288861,original,13.894379151762905,24.41333163004603,309,10288861,300,14.211184210526316,21.673289473684235,304,10288861,0.3168050587634106,-2.7400421563617954,-5
10299320,original,11.099785596481585,37.903735568993966,214,10299320,300,13.896447761194032,19.298925373134352,268,10299320,2.7966621647124477,-18.604810195859613,54
10308265,original,14.282500000000002,21.310416666666697,193,10308265,300,13.812223334000404,20.690206123674216,263,10308265,-0.4702766659995987,-0.6202105429924814,70
10309528,original,12.877622377622377,22.328741258741303,286,10309528,300,10.391284923563525,37.80091789667898,271,10309528,-2.4863374540588516,15.472176637937679,-15
