comparison,n_pairs,mean_diff,median_diff,sd_diff,ci_lower,ci_upper,t_stat,p_value,cohens_d
250 vs Original,651,7.402457757296467,6.0,6.697020700119434,6.887052712416513,7.917862802176422,28.202317055541837,6.730781794040056e-115,1.1053359529207447
300 vs Original,651,8.064516129032258,6.0,6.726216255195973,7.546864184068173,8.582168073996343,30.591303510249734,5.28460625698783e-128,1.198967714248327
