pmcid_orig,version_orig,flesch_kincaid_orig,reading_ease_orig,word_count_orig,has_full_text_orig,pmcid_250,version_250,flesch_kincaid_250,reading_ease_250,word_count_250,has_full_text_250,pmcid,delta_flesch_kincaid,delta_reading_ease,delta_word_count
10019155,original,16.57683667621777,17.655436485195793,349,True,10019155,250,13.54331223628692,21.415137130801696,237,True,10019155,-3.0335244399308507,3.7597006456059034,-112
10024931,original,13.029528089887641,33.351146067415755,178,True,10024931,250,14.756105315449581,18.899910581222088,183,True,10024931,1.7265772255619396,-14.451235486193667,5
10027760,original,13.65089285714286,26.803482142857177,266,True,10027760,250,14.278851063829787,15.013666666666694,188,True,10027760,0.6279582066869267,-11.789815476190483,-78
10043991,original,0.0,0.0,0,True,10043991,250,14.049464285714286,19.270535714285728,224,True,10043991,14.049464285714286,19.270535714285728,224
10077024,original,14.743731035774491,15.699129050383988,281,True,10077024,250,12.818617154811715,24.443825313807565,239,True,10077024,-1.9251138809627761,8.744696263423577,-42
10085918,original,15.204848484848487,15.439772727272754,264,True,10085918,250,15.056554621848743,12.050210084033637,238,True,10085918,-0.14829386299974345,-3.389562643239117,-26
10125117,original,5.493669467787118,72.97794117647062,204,True,10125117,250,11.160932452276064,37.50608786098877,227,True,10125117,5.667262984488946,-35.47185331548185,23
10165060,original,14.683823529411764,18.284705882352966,272,True,10165060,250,13.405366255144035,27.806814814814828,243,True,10165060,-1.2784572742677298,9.522108932461862,-29
10179281,original,10.844685770750988,39.84268083003954,253,True,10179281,250,11.555719350625118,30.257329725695087,233,True,10179281,0.7110335798741296,-9.585351104344454,-20
10182227,original,15.233616071428575,18.41406250000003,256,True,10182227,250,14.84459330143541,17.26907618697095,209,True,10182227,-0.389022769993165,-1.1449863130290794,-47
10245396,original,15.504999999999999,16.781538461538503,240,True,10245396,250,14.836585365853662,13.033577235772356,205,True,10245396,-0.6684146341463375,-3.747961225766147,-35
10252409,original,19.5367,10.653850000000034,125,True,10252409,250,13.301297429620565,19.853659730722143,215,True,10252409,-6.235402570379435,9.199809730722109,90
10263017,original,12.223566176470587,34.247169117647076,256,True,10263017,250,14.233944872554833,23.672873443983434,241,True,10263017,2.0103786960842456,-10.574295673663642,-15
10266282,original,15.337307692307693,15.974358974359006,208,True,10266282,250,15.569768595041321,12.170410468319602,242,True,10266282,0.23246090273362796,-3.8039485060394043,34
10288861,original,13.894379151762905,24.41333163004603,309,True,10288861,250,13.667336065573775,24.236577868852493,244,True,10288861,-0.2270430861891306,-0.17675376119353814,-65
10299320,original,11.099785596481585,37.903735568993966,214,True,10299320,250,13.480851926977689,19.680223123732247,203,True,10299320,2.381066330496104,-18.22351244526172,-11
10309528,original,12.877622377622377,22.328741258741303,286,True,10309528,250,11.41621553884712,32.55184210526318,228,True,10309528,-1.4614068387752575,10.223100846521874,-58
10314755,original,15.636920529801326,27.778250551876425,302,True,10314755,250,12.682076411960132,31.491220930232572,215,True,10314755,-2.954844117841194,3.7129703783561467,-87
10338899,original,16.596869565217393,8.843782608695705,276,True,10338899,250,12.346296296296298,30.590833333333364,216,True,10338899,-4.250573268921094,21.74705072463766,-60
