metric,n_pairs,mean_diff,median_diff,sd_diff,ci_lower,ci_upper,t_stat,p_value,cohens_d,comparison
Flesch-Kincaid Grade,651,-1.064168911065035,-0.9033984902566097,3.2253424927505505,-1.3123923923213607,-0.8159454298087092,-8.418315985369384,2.436826787785349e-16,-0.3299398167657906,250 vs Original
Reading Ease,651,2.7895148154910383,0.7233744588744742,14.870447798927053,1.6450799752262715,3.9339496557558054,4.786247140107814,2.1053110631371e-06,0.18758781532404895,250 vs Original
Word Count,651,-43.334869431643625,-38.0,110.22112737907236,-51.81752577202448,-34.85221309126277,-10.031436718501734,4.0825803765808516e-22,-0.39316300297497775,250 vs Original
Flesch-Kincaid Grade,651,-0.8677612440605259,-0.7346452509072741,3.1805096221880844,-1.112534371988254,-0.6229881161327978,-6.961358986708212,8.258704610669193e-12,-0.2728371698695051,300 vs Original
Reading Ease,651,2.237892254183684,0.607799153577929,14.407663083683529,1.1290734867385206,3.346711021628847,3.9631099676639376,8.217529180618815e-05,0.1553265259733943,300 vs Original
Word Count,651,-4.172043010752688,0.0,108.55413914216543,-12.526407356001735,4.1823213344963595,-0.9806022461043769,0.3271537611011579,-0.03843283216763267,300 vs Original
