version,n,total_mean,total_sd,total_median,total_min,total_max,Title_mean,Title_sd,Trial_Design_mean,Trial_Design_sd,Participants_mean,Participants_sd,Intervention_mean,Intervention_sd,Objective_mean,Objective_sd,Method_Outcome_mean,Method_Outcome_sd,Randomisation_Allocation_mean,Randomisation_Allocation_sd,Blinding_mean,Blinding_sd,Number_Randomised_mean,Number_Randomised_sd,Number_Analysed_mean,Number_Analysed_sd,Result_Outcome_mean,Result_Outcome_sd,Harms_mean,Harms_sd,Trial_Registration_mean,Trial_Registration_sd,Funding_mean,Funding_sd
Original,651,9.055299539170507,6.207193000753222,10.0,0.0,24.0,0.22734254992319508,0.419437907041843,0.522273425499232,0.5875988104536594,1.0261136712749617,0.9136200755475867,1.304147465437788,0.9246860605244255,0.7081413210445469,0.4549672025347015,1.0046082949308757,0.8883746395396719,0.2672811059907834,0.47957206494252397,0.3425499231950845,0.8326153116050803,0.7373271889400922,0.7169196385699841,0.43317972350230416,0.6249225403967466,1.858678955453149,1.1602376838069328,0.37327188940092165,0.48404534256072784,0.23963133640552994,0.4271867030499344,0.010752688172043012,0.10321546681053408
250-word,651,16.457757296466973,5.717932429666789,18.0,0.0,25.0,0.9155145929339478,0.27832825836070485,1.010752688172043,0.6938462822254994,1.7235023041474655,0.6518971305665002,1.7450076804915515,0.6535951169217807,0.880184331797235,0.32499556891697495,1.76036866359447,0.5610669938343951,1.1950844854070661,0.9233919664045522,0.8832565284178188,1.0920182417184137,1.228878648233487,0.7241940681392082,0.9139784946236559,0.8030545490610065,2.414746543778802,0.7462917898926084,0.7956989247311828,0.4034999894943232,0.620583717357911,0.48561488094580274,0.37019969278033793,0.4832293197293179
300-word,651,17.119815668202765,5.719689929449536,19.0,0.0,25.0,0.9139784946236559,0.280611408559471,1.096774193548387,0.7284369206695533,1.7634408602150538,0.6171521349318588,1.771121351766513,0.6188041586718326,0.8940092165898618,0.30806252098884196,1.792626728110599,0.5335002102154165,1.2365591397849462,0.9161540788057922,0.9539170506912442,1.1345059999303915,1.337941628264209,0.7376186650628067,1.0629800307219661,0.804236684201858,2.4546850998463903,0.7204840364915674,0.8356374807987711,0.3708891819677689,0.6236559139784946,0.4848404954601543,0.3824884792626728,0.48636859821395423
