version,n,corr_total_vs_flesch_kincaid,corr_total_vs_reading_ease,corr_total_vs_word_count,mean_total_score,mean_flesch_kincaid,mean_reading_ease,mean_word_count
Original,651,-0.3855849034839453,0.5084007132720814,0.416672530340414,9.055299539170507,13.862622636459003,23.762544364282533,262.2642089093702
250-word,651,-0.3562924356851965,0.31228790829572556,0.3281717342818995,16.457757296466973,12.798453725393966,26.55205917977357,218.9293394777266
300-word,651,-0.3324363970070739,0.3018945014524557,0.11923356919137755,17.119815668202765,12.994861392398475,26.000436618466214,258.0921658986175
