metric,n_pairs,mean_diff,median_diff,sd_diff,ci_lower,ci_upper,t_stat,p_value,cohens_d,comparison,mean_orig,mean_rewritten
Flesch-Kincaid Grade Level,1066,-1.2351414111505559,-0.7937769514291393,3.5512720259283053,-1.4485673853712389,-1.0217154369298729,-11.355632909187126,2.732848030230598e-28,-0.34780253445318343,250 vs Original,13.56121718927318,12.326075778122624
Flesch-Kincaid Grade Level,1066,-1.0666262053181967,-0.6096034546410785,3.524187827085174,-1.2784244609406203,-0.8548279496957731,-9.881703186628515,4.307114493016946e-22,-0.3026587280963382,300 vs Original,13.56121718927318,12.494590983954982
